ds,yhat,yhat_lower,yhat_upper
2020-12-08,220.88160621212364,138.9891983767169,309.4991582583285
2020-12-09,226.7498092646594,137.7742918494445,323.1972496841351
2020-12-10,231.6094792895912,140.20976525907025,320.4960823216022
2020-12-11,236.08787785262484,151.96810839170462,319.59268287384396
2020-12-12,233.55203617869978,147.36877243235162,324.5242914417627
2020-12-13,231.4365731040526,141.74124635785807,328.61088497233965
2020-12-14,231.56109986737465,147.13792439754636,318.7621553606936
2020-12-15,237.48227754890866,152.29642634534164,323.8827891310141
2020-12-16,245.3007776138146,158.6544797446569,332.57122041501117
2020-12-17,251.78888652131567,161.0377018781034,348.1821333653956
2020-12-18,257.55439311975124,168.31083452020133,349.82407538965697
2020-12-19,255.94952728066542,166.1924952197765,342.6156219538902
2020-12-20,254.3989764912509,167.79054588498963,340.7976166512395
2020-12-21,254.71742124315568,168.75054692989664,342.69882871684956
2020-12-22,260.46165278242296,165.1159198506908,337.9101504490971
2020-12-23,267.73752243927095,183.63636769784023,360.7653316080649
2020-12-24,273.3274632857532,182.93633003856243,365.14344491178355
2020-12-25,277.85422365425086,183.44049969309603,365.3562820614296
2020-12-26,274.6895827989522,185.0490911000277,361.0907756237651
2020-12-27,271.2820782420697,181.7876829716749,354.4731969741503
2020-12-28,269.4741894234505,182.13091265899604,362.0085760793661
2020-12-29,272.8540459092915,183.42257725665394,359.37716161935157
2020-12-30,277.5619149248337,184.804785769961,364.8433959475452
2020-12-31,280.4172152894534,192.43186982358827,374.2266376781362
2021-01-01,282.08170432632005,197.16616549358048,362.3374880344638
2021-01-02,275.9676156894486,190.73086078641285,366.6563521606275
2021-01-03,269.5647858373018,183.02773418250933,358.79824046130017
2021-01-04,264.75722238327654,176.74862801869438,360.42841872165565
2021-01-05,265.17419150543196,178.3674648476676,349.3201745165605
2021-01-06,266.9960883070242,176.56686571188845,356.27298280054765
2021-01-07,267.0808464112595,177.19082131861543,355.88511137930465
2021-01-08,266.1265425217813,178.78854033585816,346.8065073101787
2021-01-09,257.57898287743785,169.39784892025997,344.1756037204683
2021-01-10,248.95831801085887,162.86380135896692,335.7328731363712
2021-01-11,242.1751472872714,156.2941614325345,335.85878216220664
2021-01-12,240.8811980874271,148.27557461611974,321.7878456681449
2021-01-13,241.2748505136555,148.97983304311845,334.7164363390645
2021-01-14,240.22727007711933,154.47088804344358,326.7049622711692
2021-01-15,238.44480933876497,155.1720327203593,322.07411555893196
2021-01-16,229.37646963495274,143.3581392180313,311.5665115689381
2021-01-17,220.54047236278353,136.07563806035077,307.27970020805986
2021-01-18,213.84040314574048,130.47780818225144,297.27360430182176
2021-01-19,212.9160142982172,127.01923595998244,303.31280968106597
2021-01-20,213.94895568108447,123.03381369978695,300.57547562575854
2021-01-21,213.7891942461181,129.48041415028771,301.9313008978045
2021-01-22,213.11777969786903,130.154435593715,301.8571550495291
2021-01-23,205.35474248800432,119.0364412420653,293.73755537107195
2021-01-24,197.98616736709496,107.71909050212227,283.56170030443104
2021-01-25,192.8808982905844,104.32985259323502,281.1574041136929
2021-01-26,193.6419513888227,107.01077825703067,281.365825430319
2021-01-27,196.41289631144159,111.57927610502333,281.39736854932715
2021-01-28,198.00495552734182,109.05731273405742,284.15006807871487
2021-01-29,199.060467518192,104.30722547052973,287.911448944268
2021-01-30,192.96148800024235,109.38066222893963,280.65846955762277
2021-01-31,187.1575599291362,96.70907858157433,274.01413225848495
2021-02-01,183.48309544578757,98.32342752858256,271.60725085981034
2021-02-02,185.50943389442818,103.53344460128565,282.1087757098395
2021-02-03,189.35182394515277,101.90465082767533,280.0233175339468
2021-02-04,191.79706766729245,104.39265196626704,282.6983599448317
2021-02-05,193.46746154271437,104.39130904569728,283.5973084190654
2021-02-06,187.72979862515206,99.57605315128323,275.62123544299055
2021-02-07,182.02345391717716,96.0281961573086,268.6105097468211
2021-02-08,178.17798889161443,89.76265501763102,266.68520576220016
2021-02-09,179.7653336929892,92.77547926957156,263.4918852270804
2021-02-10,182.90679125008762,98.80288268114259,268.9219921375768
2021-02-11,184.40059926330898,92.35357661881827,268.0798414502753
2021-02-12,184.8856851812734,99.57381359553843,269.78436460240795
2021-02-13,177.75038055687116,85.22632106328975,267.44276189657387
2021-02-14,170.46012110394997,84.83134060688374,262.1173212067718
2021-02-15,164.87457466197682,71.70962645967293,256.8951524013732
2021-02-16,164.5992638339377,83.21785521416156,253.7583723224408
2021-02-17,165.79193758383047,79.24409099696179,253.42742218936374
2021-02-18,165.28943946929482,81.6025959576315,257.38542014797105
2021-02-19,163.77072078472943,84.48550283968,256.7693372636528
2021-02-20,154.66477936746548,66.82888199687314,240.83432682324968
2021-02-21,145.4775656754585,60.92099628114281,231.51770810776983
2021-02-22,138.1083142470104,49.70402542185126,227.21832953915708
2021-02-23,136.20038350093776,57.061324643728696,224.66334072294302
2021-02-24,135.94687430385795,50.88988802432175,222.42447242369627
2021-02-25,134.21679071797985,46.443322260494575,225.51723207071126
2021-02-26,131.71740619315509,40.29036052747471,224.8529494712552
2021-02-27,121.90162985399,36.90082578691294,205.44932452502118
2021-02-28,112.2944269780101,26.135941873599688,202.82281285925168
2021-03-01,104.80876255426043,15.516816284669222,192.71886138297822
2021-03-02,103.09615968755763,11.599958478148935,194.21652194630386
2021-03-03,103.35214988424306,13.499092458033564,191.51465899795815
2021-03-04,102.44238286641965,9.909435156933071,189.9665447760232
2021-03-05,101.06506090772879,15.022811787441896,184.9757096386445
2021-03-06,92.65849149431654,4.2456113691254815,182.39339650303225
2021-03-07,84.72780896811211,-9.234488625186057,175.98622361657635
2021-03-08,79.16132805608868,-11.500585918981926,170.02186884842027
2021-03-09,79.58161262195057,-7.649614577168849,168.44197546638898
2021-03-10,82.15152596765355,-1.0835289751484412,170.74148469774576
2021-03-11,83.70101755998672,-7.670761299042352,173.86912808160682
2021-03-12,84.89029661047336,-8.967890938294877,175.11048123844205
2021-03-13,79.11817026815285,-7.939799021823919,167.98695077909392
2021-03-14,73.84957991273731,-8.908571343202688,157.49724542588794
2021-03-15,70.93278054072155,-15.18269242938752,160.32326893422245
2021-03-16,73.95122833496771,-9.735570436432445,161.433389026765
2021-03-17,79.0304245831891,-11.220436829456583,167.80485346529832
2021-03-18,82.9654531649055,-1.541065035174711,174.9660488222562
2021-03-19,86.38484529901432,-7.523838001802144,171.66636809837468
2021-03-20,82.6595338938304,-3.8073473365407144,174.9479611022119
2021-03-21,79.2309172540462,-5.072750274446101,170.06845879477845
2021-03-22,77.92846542415117,-17.823345888376696,166.86553282303018
2021-03-23,82.32192485097525,-3.399964685969866,163.25212677496344
2021-03-24,88.52836266318208,0.26309006917487143,176.33516732219985
2021-03-25,93.33978363429435,-2.101444892417579,178.2334808242539
2021-03-26,97.38695219438438,6.272780284968269,184.6122824353333
2021-03-27,94.04818337427143,7.327504147352848,176.28654379220825
2021-03-28,90.77712682139577,1.3313265048694145,178.97881065327363
2021-03-29,89.41998430003898,0.1298040174254114,177.0031184274256
2021-03-30,93.56722607667238,3.598504678346803,185.30907142977904
2021-03-31,99.3600595642117,4.307872947857727,189.62774281362425
2021-04-01,103.6173974415358,17.340398340322384,194.6250465292749
2021-04-02,106.9989734970312,20.151835620354795,195.92810739514672
2021-04-03,102.91338731582219,11.707239990231129,184.09603272559175
2021-04-04,98.84512012129638,18.136893837885047,189.96265189767234
2021-04-05,96.67098084638779,6.848215219920869,186.24280330956677
2021-04-06,100.01106653508458,8.00215994599048,191.0599653761765
